year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,Position,Streams,spotify date,spins,radio_rank,chartmetric date
2021,2021-02-06,60,beat box,spotemgottem,0,english,336,0,0,NA,201,1444016,NA,255,501,NA
2021,2021-02-06,53,beers and sunshine,darius rucker,0,english,301,0,0,NA,201,1444016,NA,3254,28,2021-01-28
2021,2021-02-06,82,"big, big plans",chris lane,0,english,424,0,0,NA,201,1444016,NA,2595,45,2021-01-28
2021,2021-02-06,93,champagne night,lady a,0,english,371,9,2.43,NA,201,1444016,NA,1615,79,2021-01-28
2021,2021-02-06,52,damage,her,0,english,291,0,0,NA,201,1444016,NA,2549,46,2021-01-28
2021,2021-02-06,49,diamonds,sam smith,0,english,513,0,0,NA,201,1444016,NA,3840,19,2021-01-28
2021,2021-02-06,58,down to one,luke bryan,0,english,379,0,0,NA,201,1444016,NA,3128,31,2021-01-28
2021,2021-02-06,85,girl like me,black eyed peas,0,english,474,142,29.96,NA,201,1444016,NA,811,142,2021-01-28
2021,2021-02-06,37,good time,niko moon,0,english,371,0,0,NA,201,1444016,NA,2752,41,2021-01-28
2021,2021-02-06,50,happy does,kenny chesney,0,english,303,0,0,NA,201,1444016,NA,3442,24,2021-01-28
2021,2021-02-06,90,hell of a view,eric church,0,english,229,0,0,NA,201,1444016,NA,1589,83,2021-01-28
2021,2021-02-06,42,hole in the bottle,kelsea ballerini,0,english,296,0,0,NA,201,1444016,NA,3237,29,2021-01-28
2021,2021-02-06,56,just the way,parmalee,0,english,511,0,0,NA,201,1444016,NA,3079,32,2021-01-28
2021,2021-02-06,35,kings and queens,ava max,0,english,312,0,0,NA,201,1444016,NA,4512,16,2021-01-28
2021,2021-02-06,86,lady,brett young,0,english,268,0,0,NA,201,1444016,NA,2051,61,2021-01-28
2021,2021-02-06,68,long live,florida georgia line,0,english,269,0,0,NA,201,1444016,NA,2307,53,2021-01-28
2021,2021-02-06,87,mommas house,dustin lynch,0,english,374,0,0,NA,201,1444016,NA,2203,56,2021-01-28
2021,2021-02-06,69,monsters,all time low,0,english,458,0,0,NA,201,1444016,NA,1328,92,2021-01-28
2021,2021-02-06,96,one too many,keith urban,0,english,387,0,0,NA,201,1444016,NA,1291,97,2021-01-28
2021,2021-02-06,89,somebody like that,tenille arts,0,english,295,0,0,NA,201,1444016,NA,1807,70,2021-01-28
2021,2021-02-06,78,take you dancing,jason derulo,0,english,525,0,0,NA,201,1444016,NA,2045,62,2021-01-28
2021,2021-02-06,64,the good ones,gabby barrett,0,english,290,0,0,NA,201,1444016,NA,1952,66,2021-01-28
2021,2021-02-06,59,what's your country song,thomas rhett,0,english,274,0,0,NA,201,1444016,NA,255,501,NA
2021,2021-02-06,95,you got it,vedo,0,english,473,0,0,NA,201,1444016,NA,987,123,2021-01-28
2021,2021-02-06,32,you're mines still,yung bleu,0,english,468,0,0,NA,201,1444016,NA,255,501,NA
2021,2021-02-13,45,afterglow,ed sheeran,0,english,239,0,0,NA,201,1439857,NA,3160,29,2021-02-04
2021,2021-02-13,99,almost maybes,jordan davis,0,english,375,0,0,NA,201,1439857,NA,1669,75,2021-02-04
2021,2021-02-13,69,back to the streets,saweetie,0,english,526,0,0,NA,201,1439857,NA,3357,26,2021-02-04
2021,2021-02-13,95,backdoor,lil durk,0,english,546,1,0.18,NA,201,1439857,NA,256,501,NA
2021,2021-02-13,16,bang,ajr,0,english,362,0,0,NA,201,1439857,NA,266,479,2021-02-04
2021,2021-02-13,16,bang,ajr,0,english,362,0,0,NA,201,1439857,NA,4929,12,2021-02-04
2021,2021-02-13,58,beat box,spotemgottem,0,english,336,0,0,NA,201,1439857,NA,256,501,NA
2021,2021-02-13,55,beers and sunshine,darius rucker,0,english,301,0,0,NA,201,1439857,NA,3492,23,2021-02-04
2021,2021-02-13,84,"big, big plans",chris lane,0,english,424,0,0,NA,201,1439857,NA,2296,54,2021-02-04
2021,2021-02-13,51,damage,her,0,english,291,0,0,NA,201,1439857,NA,2756,44,2021-02-04
2021,2021-02-13,59,diamonds,sam smith,0,english,513,0,0,NA,201,1439857,NA,3168,28,2021-02-04
2021,2021-02-13,56,down to one,luke bryan,0,english,379,0,0,NA,201,1439857,NA,3313,27,2021-02-04
2021,2021-02-13,96,fake woke,tom macdonald,0,english,759,0,0,1,201,1439857,NA,256,501,NA
2021,2021-02-13,31,good time,niko moon,0,english,371,0,0,NA,201,1439857,NA,2983,34,2021-02-04
2021,2021-02-13,47,happy does,kenny chesney,0,english,303,0,0,1,201,1439857,NA,3784,21,2021-02-04
2021,2021-02-13,81,hell of a view,eric church,0,english,229,0,0,NA,201,1439857,NA,1715,72,2021-02-04
2021,2021-02-13,40,hole in the bottle,kelsea ballerini,0,english,296,0,0,NA,201,1439857,NA,3402,25,2021-02-04
2021,2021-02-13,19,i hope,gabby barrett,0,english,471,0,0,NA,201,1439857,NA,4448,15,2021-02-04
2021,2021-02-13,54,just the way,parmalee,0,english,511,0,0,NA,201,1439857,NA,3144,30,2021-02-04
2021,2021-02-13,91,kanye krazy,lil durk,0,english,238,0,0,1,201,1439857,NA,256,501,NA
2021,2021-02-13,41,kings and queens,ava max,0,english,312,0,0,NA,201,1439857,NA,3826,20,2021-02-04
2021,2021-02-13,75,lady,brett young,0,english,268,0,0,NA,201,1439857,NA,2229,55,2021-02-04
2021,2021-02-13,65,long live,florida georgia line,0,english,269,0,0,NA,201,1439857,NA,2382,52,2021-02-04
2021,2021-02-13,83,mommas house,dustin lynch,0,english,374,0,0,NA,201,1439857,NA,2200,56,2021-02-04
2021,2021-02-13,64,monsters,all time low,0,english,458,0,0,NA,201,1439857,NA,1344,92,2021-02-04
2021,2021-02-13,94,one too many,keith urban,0,english,387,0,0,NA,201,1439857,NA,1392,89,2021-02-04
2021,2021-02-13,92,pick up your feelings,jazmine sullivan,0,english,510,0,0,NA,201,1439857,NA,452,256,2021-02-04
2021,2021-02-13,53,should've ducked,lil durk,0,english,720,0,0,1,201,1439857,NA,256,501,NA
2021,2021-02-13,88,somebody like that,tenille arts,0,english,295,0,0,NA,201,1439857,NA,1947,64,2021-02-04
2021,2021-02-13,36,starting over,chris stapleton,0,english,257,0,0,NA,201,1439857,NA,2720,45,2021-02-04
2021,2021-02-13,87,stay down,lil durk,0,english,540,3,0.56,NA,201,1439857,NA,1262,97,2021-02-04
2021,2021-02-13,60,the good ones,gabby barrett,0,english,290,0,0,NA,201,1439857,NA,2103,59,2021-02-04
2021,2021-02-13,33,throat baby,brs kash,0,english,803,4,0.5,NA,201,1439857,NA,1398,88,2021-02-04
2021,2021-02-13,33,throat baby,brs kash,0,english,803,4,0.5,NA,201,1439857,NA,1706,73,2021-02-04
2021,2021-02-13,57,what's your country song,thomas rhett,0,english,274,0,0,NA,201,1439857,NA,256,501,NA
2021,2021-02-13,93,you got it,vedo,0,english,473,0,0,NA,201,1439857,NA,1167,107,2021-02-04
2021,2021-02-13,27,you're mines still,yung bleu,0,english,468,0,0,NA,201,1439857,NA,256,501,NA
2021,2021-02-20,57,afterglow,ed sheeran,0,english,239,0,0,NA,201,1456858,NA,2696,44,2021-02-11
2021,2021-02-20,96,almost maybes,jordan davis,0,english,375,0,0,NA,201,1456858,NA,1777,70,2021-02-11
2021,2021-02-20,75,back to the streets,saweetie,0,english,526,0,0,NA,201,1456858,NA,2807,39,2021-02-11
2021,2021-02-20,23,bang,ajr,0,english,362,0,0,NA,201,1456858,NA,4713,13,2021-02-11
