year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,position,streams,spotify date,spins,radio_rank
2021,2021-03-20,49,Holy,Justin Bieber,0,english,509,0,0.00,,,,,,
2021,2021-03-20,50,Damage,her,0,english,291,0,0.00,,,,,,
2021,2021-03-20,51,Long Live,Florida Georgia Line,0,english,269,0,0.00,,,,,,
2021,2021-03-20,52,Heartbreak Anniversary,Giveon,0,english,266,0,0.00,,,,,,
2021,2021-03-20,53,Time Today,Moneybagg Yo,0,english,570,0,0.00,,,,,,
2021,2021-03-20,54,Beautiful Mistakes,Maroon 5,0,english,536,0,0.00,,,,,,
2021,2021-03-20,55,Lady,Brett Young,0,english,268,0,0.00,,,,,,
2021,2021-03-20,56,We're Good,Dua Lipa,0,english,294,0,0.00,,,,,,
2021,2021-03-20,57,Heat Waves,Glass Animals,0,english,417,0,0.00,,,,,,
2021,2021-03-20,58,Goosebumps,Travis Scott,0,english,539,0,0.00,,,,,,
2021,2021-03-20,59,Monsters,All Time Low,0,english,458,0,0.00,,,,,,
2021,2021-03-20,60,Track Star,Mooski,0,english,494,0,0.00,,,,,,
2021,2021-03-20,61,Buss It,Erica Banks,0,english,478,3,0.63,,,,,,
2021,2021-03-20,62,Mommas House,Dustin Lynch,0,english,374,0,0.00,,,,,,
2021,2021-03-20,63,Body,Megan Thee Stallion,0,english,480,0,0.00,,,,,,
2021,2021-03-20,64,Wasted On You,Morgan Wallen,0,english,278,0,0.00,,,,,,
2021,2021-03-20,65,Golden,Harry Styles,0,english,210,0,0.00,,,,,,
2021,2021-03-20,66,La Noche de Anoche,Bad Bunny,1,spanish,499,499,100.00,,,,,,
2021,2021-03-20,67,Forever After All,Luke Combs,0,english,304,0,0.00,,,,,,
2021,2021-03-20,68,Hell Of A View,Eric Church,0,english,229,0,0.00,,,,,,
2021,2021-03-20,69,Beers And Sunshine,Darius Rucker,0,english,301,0,0.00,,,,,,
2021,2021-03-20,70,Girl Like Me,Black Eyed Peas,0,english,474,142,29.96,,,,,,
2021,2021-03-20,71,Somebody Like That,Tenille Arts,0,english,295,0,0.00,,,,,,
2021,2021-03-20,72,Sand In My Boots,Morgan Wallen,0,english,286,3,1.05,,,,,,
2021,2021-03-20,73,Masterpiece,DaBaby,0,english,881,0,0.00,,,,,,
2021,2021-03-20,74,Hellcats & Trackhawks,Lil Durk,0,english,530,0,0.00,,,,,,
2021,2021-03-20,75,You Got It,VEDO,0,english,473,0,0.00,1,,,,,
2021,2021-03-20,76,One Too Many,Keith Urban,0,english,387,0,0.00,,,,,,
2021,2021-03-20,77,The Business,Tiesto,0,english,292,0,0.00,,,,,,
2021,2021-03-20,78,Almost Maybes,Jordan Davis,0,english,375,0,0.00,,,,,,
2021,2021-03-20,79,Quicksand,Morray,0,english,848,8,0.94,,,,,,
2021,2021-03-20,80,Made For You,Jake Owen,0,english,242,0,0.00,,,,,,
2021,2021-03-20,81,Lifestyle,Jason Derulo,0,english,277,0,0.00,,,,,,
2021,2021-03-20,82,Breaking Up Was Easy In The 90s,Sam Hunt,0,english,405,0,0.00,,,,,,
2021,2021-03-20,83,Bandido,Myke Towers,1,spanish,598,598,100.00,,,,,,
2021,2021-03-20,84,Hello,Pop Smoke,0,english,530,13,2.45,1,,,,,
2021,2021-03-20,85,Pick Up Your Feelings,Jazmine Sullivan,0,english,510,0,0.00,,,,,,
2021,2021-03-20,86,Opp Stoppa,YBN Nahmir,0,english,516,0,0.00,,,,,,
2021,2021-03-20,87,Neighbors,Pooh Shiesty,0,english,724,1,0.14,,,,,,
2021,2021-03-20,88,Glad You Exist,Dan and Shay,0,english,288,0,0.00,,,,,,
2021,2021-03-20,89,Nobody,Dylan Scott,0,english,297,0,0.00,,,,,,
2021,2021-03-20,90,Drankin N Smokin,Future,0,english,582,2,0.34,,,,,,
2021,2021-03-20,91,Finesse Out The Gang Way,Lil durk,0,english,716,0,0.00,,,,,,
2021,2021-03-20,92,Still Trappin',Lil Durk,0,english,664,2,0.30,,,,,,
2021,2021-03-20,93,Moonwalking In Calabasas,DDG,0,english,547,0,0.00,,,,,,
2021,2021-03-20,94,Tyler Herro,Jack Harlow,0,english,566,0,0.00,,,,,,
2021,2021-03-20,95,somebodys problem,Morgan Wallen,0,english,300,0,0.00,,,,,,
2021,2021-03-20,96,Cover Me Up,Morgan Wallen,0,english,272,0,0.00,,,,,,
2021,2021-03-20,97,Lifes A Mess,Juice wrld,0,english,427,0,0.00,1,,,,,
2021,2021-03-20,98,Gone,Dierks Bentley,0,english,318,0,0.00,,,,,,
2021,2021-03-20,99,AP,Pop Smoke,0,english,447,0,0.00,,,,,,
2021,2021-03-20,100,Lil Bit,Nelly,0,english,577,0,0.00,,,,,,
2021,2021-03-27,1,Up,Cardi B,0,english,536,0,0.00,1,,,,,
2021,2021-03-27,2,Leave The Door Open,Silk Sonic,0,english,476,0,0.00,,,,,,
2021,2021-03-27,3,Drivers License,Olivia Rodrigo,0,english,356,0,0.00,,,,,,
2021,2021-03-27,4,What's Next,Drake,0,english,548,3,0.55,,,,,,
2021,2021-03-27,5,Save Your Tears,The Weeknd,0,english,267,0,0.00,,,,,,
2021,2021-03-27,6,Blinding Lights,The Weeknd,0,english,259,0,0.00,,,,,,
2021,2021-03-27,7,Levitating,Dua Lipa,0,english,498,0,0.00,,,,,,
2021,2021-03-27,8,Mood,24kGoldn,0,english,455,0,0.00,,,,,,
2021,2021-03-27,9,34 plus 35,Ariana Grande,0,english,485,0,0.00,,,,,,
2021,2021-03-27,10,Wants And Needs,Drake,0,english,609,2,0.33,,,,,,
2021,2021-03-27,11,Go Crazy,Chris Brown,0,english,563,0,0.00,,,,,,
2021,2021-03-27,12,What You Know Bout Love,Pop Smoke,0,english,464,0,0.00,,,,,,
2021,2021-03-27,13,Calling My Phone,Lil Tjay,0,english,647,0,0.00,,,,,,
2021,2021-03-27,14,Back In Blood,Pooh Shiesty,0,english,716,0,0.00,1,,,,,
2021,2021-03-27,15,Therefore I Am,Billie Eilish,0,english,323,0,0.00,,,,,,
2021,2021-03-27,16,Streets,Doja Cat,0,english,432,4,0.93,1,,,,,
2021,2021-03-27,17,Positions,Ariana Grande,0,english,351,0,0.00,,,,,,
2021,2021-03-27,18,You're Mines Still,Yung Bleu,0,english,468,0,0.00,1,,,,,
2021,2021-03-27,19,you broke me first,Tate McRae,0,english,328,0,0.00,,,,,,
2021,2021-03-27,20,Beat Box,SpotemGottem,0,english,336,0,0.00,,,,,,
2021,2021-03-27,21,Best Friend,Saweetie,0,english,529,0,0.00,,,,,,
2021,2021-03-27,22,Dakiti,Bad Bunny,1,spanish,415,415,100.00,,,,,,
2021,2021-03-27,23,On Me,Lil Baby,0,english,490,0,0.00,,,,,,
2021,2021-03-27,24,For The Night,Pop Smoke,0,english,581,0,0.00,,,,,,
2021,2021-03-27,25,Astronaut In The Ocean,Masked Wolf,0,english,441,0,0.00,,,,,,
2021,2021-03-27,26,No More Parties,Coi Leray,0,english,603,0,0.00,1,,,,,
2021,2021-03-27,27,Good Days,SZA,0,english,431,0,0.00,,,,,,
2021,2021-03-27,28,My Exs Best Friend,Machine Gun Kelly,0,english,365,0,0.00,,,,,,
2021,2021-03-27,29,What's Your Country Song,Thomas Rhett,0,english,274,0,0.00,1,,,,,
2021,2021-03-27,30,Heartbreak Anniversary,Giveon,0,english,266,0,0.00,,,,,,
2021,2021-03-27,31,Lemon Pepper Freestyle,Drake Featuring Rick Ross,0,english,1158,2,0.17,,,,,,
2021,2021-03-27,32,Put Your Records On,Ritt Momney,0,english,271,0,0.00,,,,,,
2021,2021-03-27,33,The Good Ones,Gabby Barrett,0,english,290,0,0.00,,,,,,
2021,2021-03-27,34,Dynamite,BTS,0,english,450,0,0.00,,,,,,
2021,2021-03-27,35,Starting Over,Chris Stapleton,0,english,257,0,0.00,,,,,,
2021,2021-03-27,36,Street Runner,Rod Wave,0,english,495,0,0.00,,,,,,
2021,2021-03-27,37,Anyone,Justin Bieber,0,english,325,0,0.00,,,,,,
2021,2021-03-27,38,Just The Way,Parmalee,0,english,511,0,0.00,,,,,,
2021,2021-03-27,39,Willow,Taylor Swift,0,english,412,0,0.00,,,,,,
2021,2021-03-27,40,Without You,The Kid LAROI,0,english,309,0,0.00,,,,,,
2021,2021-03-27,41,Good Time,Niko Moon,0,english,371,0,0.00,,,,,,
2021,2021-03-27,42,Cry Baby,Megan Thee Stallion,0,english,511,0,0.00,,,,,,
