"year","date","rank","song","artist","binary","language","total_words","non_e_words","percent","unique","position","streams","spins","radio_rank"
2020,2020-01-18,31,"even though im leaving","luke combs",0,"english",340,0,0,0,201,1536995,2773,27
2020,2020-01-18,32,"i dont care","ed sheeran",0,"english",531,0,0,0,115,2127256,2169,43
2020,2020-01-18,33,"bad guy","billie eilish",0,"english",222,0,0,0,34,3830917,2426,40
2020,2020-01-18,34,"sucker","jonas brothers",0,"english",381,0,0,0,120,2062198,2839,25
2020,2020-01-18,35,"high fashion","roddy ricch",0,"english",629,4,0.64,0,63,2733491,214,501
2020,2020-01-18,36,"lover","taylor swift",0,"english",284,0,0,0,201,1536995,2569,34
2020,2020-01-18,37,"on chill","wale",0,"english",576,0,0,1,201,1536995,3705,16
2020,2020-01-18,38,"falling","trevor daniel",0,"english",328,0,0,0,42,3415708,275,362
2020,2020-01-18,39,"blinding lights","the weeknd",0,"english",259,0,0,0,12,6093807,722,140
2020,2020-01-18,40,"what if i never get over you","lady antebellum",0,"english",291,0,0,1,201,1536995,214,501
2020,2020-01-18,41,"suicidal","ynw melly",0,"english",442,0,0,0,14,5880355,214,501
2020,2020-01-18,42,"talk","khalid",0,"english",278,0,0,0,109,2160183,2430,39
2020,2020-01-18,43,"graveyard","halsey",0,"english",370,0,0,0,86,2391061,2572,33
2020,2020-01-18,44,"my oh my","camila cabello",0,"english",443,0,0,0,15,5680153,854,115
2020,2020-01-18,45,"beautiful people","ed sheeran",0,"english",338,0,0,0,91,2342650,2538,36
2020,2020-01-18,46,"old town road","lil nas x",0,"english",310,0,0,0,123,2047952,247,411
2020,2020-01-18,47,"ridin roads","dustin lynch",0,"english",367,0,0,1,201,1536995,2748,29
2020,2020-01-18,48,"juicy","doja cat",0,"english",690,0,0,0,110,2156099,2715,30
2020,2020-01-18,49,"playing games","summer walker",0,"english",269,0,0,1,201,1536995,1984,48
2020,2020-01-18,50,"suge","dababy",0,"english",745,0,0,0,31,4012729,1408,69
2020,2020-01-18,51,"heartache medication","jon pardi",0,"english",240,0,0,0,201,1536995,2680,32
2020,2020-01-18,52,"out west","jackboys",0,"english",492,0,0,0,22,4750318,214,501
2020,2020-01-18,53,"vibez","dababy",0,"english",599,0,0,1,19,4809631,214,501
2020,2020-01-18,54,"kinfolks","sam hunt",0,"english",377,0,0,0,201,1536995,2123,45
2020,2020-01-18,55,"heat","chris brown",0,"english",659,0,0,0,201,1536995,2763,28
2020,2020-01-18,56,"start wit me","roddy ricch",0,"english",595,0,0,1,50,3156095,214,501
